name,login,package,n_commits,package_author
Jeroen Ooms,login_2,opencpu,934,TRUE
Jeroen Ooms,login_2,opencv,129,TRUE
Jeroen Ooms,login_2,openssl,736,TRUE
Jeroen Ooms,login_2,osmdata,3,FALSE
Jeroen Ooms,login_2,patentsview,2,FALSE
Jeroen Ooms,login_2,pdftools,292,TRUE
Jeroen Ooms,login_2,perccalc,1,FALSE
Jeroen Ooms,login_2,phylocomr,19,TRUE
Jeroen Ooms,login_2,piggyback,1,FALSE
Jeroen Ooms,login_2,pkgbuild,3,FALSE
Jeroen Ooms,login_2,pkgdown,9,FALSE
Jeroen Ooms,login_2,pkgstats,4,FALSE
Jeroen Ooms,login_2,plotdap,1,FALSE
Jeroen Ooms,login_2,plotly,1,FALSE
Jeroen Ooms,login_2,postdoc,46,TRUE
Jeroen Ooms,login_2,prismjs,11,TRUE
Jeroen Ooms,login_2,processx,1,FALSE
Jeroen Ooms,login_2,protolite,198,TRUE
Jeroen Ooms,login_2,qpdf,65,TRUE
Jeroen Ooms,login_2,ragg,11,FALSE
Jeroen Ooms,login_2,ramlegacy,1,FALSE
Jeroen Ooms,login_2,randgeo,1,FALSE
Jeroen Ooms,login_2,rayshader,1,FALSE
Jeroen Ooms,login_2,rayvertex,1,FALSE
Jeroen Ooms,login_2,rcites,1,FALSE
Jeroen Ooms,login_2,rdataretriever,3,TRUE
Jeroen Ooms,login_2,rdflib,2,FALSE
Jeroen Ooms,login_2,rdhs,1,FALSE
Jeroen Ooms,login_2,readr,2,FALSE
Jeroen Ooms,login_2,readxl,11,FALSE
Jeroen Ooms,login_2,redland,16,TRUE
Jeroen Ooms,login_2,redux,12,FALSE
Jeroen Ooms,login_2,remotes,1,FALSE
Jeroen Ooms,login_2,rentrez,2,FALSE
Jeroen Ooms,login_2,rerddap,2,FALSE
Jeroen Ooms,login_2,restez,11,FALSE
Jeroen Ooms,login_2,reticulate,1,FALSE
Jeroen Ooms,login_2,rgbif,4,FALSE
Jeroen Ooms,login_2,rhub,1,FALSE
Jeroen Ooms,login_2,riem,1,FALSE
Jeroen Ooms,login_2,rinat,1,FALSE
Jeroen Ooms,login_2,rjade,16,TRUE
Jeroen Ooms,login_2,rmarkdown,1,FALSE
Jeroen Ooms,login_2,rnaturalearth,4,FALSE
Jeroen Ooms,login_2,rnoaa,2,FALSE
Jeroen Ooms,login_2,rnpn,1,FALSE
Jeroen Ooms,login_2,roxygen2,2,FALSE
Jeroen Ooms,login_2,rsconnect,1,FALSE
Jeroen Ooms,login_2,rsvg,181,TRUE
Jeroen Ooms,login_2,rtika,5,FALSE
Jeroen Ooms,login_2,rtweet,2,FALSE
Jeroen Ooms,login_2,rversions,2,TRUE
Jeroen Ooms,login_2,rzmq,44,TRUE
